effDate,consTickerSymbol,weight
2017-03-31,002299,0.086
2017-03-31,600690,0.386
2017-03-31,600663,0.175
2017-03-31,600015,0.626
2017-03-31,300133,0.08
2017-03-31,601018,0.225
2017-03-31,000728,0.251
2017-03-31,601169,1.214
2017-03-31,000413,0.221
2017-03-31,000651,1.584
2017-03-31,002736,0.372
2017-03-31,600023,0.242
2017-03-31,601127,0.044
2017-03-31,000826,0.183
2017-03-31,002424,0.078
2017-03-31,601688,0.57
2017-03-31,000009,0.205
2017-03-31,600369,0.182
2017-03-31,600309,0.321
2017-03-31,600446,0.11
2017-03-31,600177,0.222
2017-03-31,000540,0.194
2017-03-31,600029,0.294
2017-03-31,300033,0.141
2017-03-31,601872,0.12
2017-03-31,601099,0.328
2017-03-31,600958,0.475
2017-03-31,601336,0.365
2017-03-31,000783,0.337
2017-03-31,600009,0.3
2017-03-31,000063,0.419
2017-03-31,601928,0.08
2017-03-31,002500,0.13
2017-03-31,600887,1.191
2017-03-31,601668,1.433
2017-03-31,601186,0.621
2017-03-31,601088,0.398
2017-03-31,002081,0.182
2017-03-31,002142,0.373
2017-03-31,002065,0.208
2017-03-31,000338,0.283
2017-03-31,002310,0.178
2017-03-31,000776,0.525
2017-03-31,600875,0.125
2017-03-31,600104,0.924
2017-03-31,600068,0.338
2017-03-31,600498,0.134
2017-03-31,300251,0.086
2017-03-31,600837,1.227
2017-03-31,600795,0.399
2017-03-31,600871,0.069
2017-03-31,600703,0.339
2017-03-31,600666,0.135
2017-03-31,600535,0.269
2017-03-31,601166,2.245
2017-03-31,600373,0.128
2017-03-31,600482,0.117
2017-03-31,600900,0.909
2017-03-31,002797,0.071
2017-03-31,000415,0.137
2017-03-31,600016,2.082
2017-03-31,601288,1.326
2017-03-31,601607,0.279
2017-03-31,600406,0.252
2017-03-31,000738,0.117
2017-03-31,601939,0.414
2017-03-31,600739,0.225
2017-03-31,000568,0.307
2017-03-31,000671,0.092
2017-03-31,000839,0.291
2017-03-31,601216,0.128
2017-03-31,601198,0.211
2017-03-31,300315,0.178
2017-03-31,000800,0.099
2017-03-31,000555,0.057
2017-03-31,600030,1.317
2017-03-31,300059,0.332
2017-03-31,601877,0.089
2017-03-31,601899,0.388
2017-03-31,601390,0.682
2017-03-31,601857,0.397
2017-03-31,002085,0.212
2017-03-31,601009,0.454
2017-03-31,601111,0.172
2017-03-31,601998,0.214
2017-03-31,600332,0.166
2017-03-31,600188,0.046
2017-03-31,000792,0.142
2017-03-31,600010,0.307
2017-03-31,000069,0.249
2017-03-31,601669,0.329
2017-03-31,603993,0.19
2017-03-31,601766,1.035
2017-03-31,002230,0.334
2017-03-31,002426,0.136
2017-03-31,002385,0.139
2017-03-31,000061,0.078
2017-03-31,600109,0.301
