code,year,quarter,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
600297,2011,4,0.67,0.58,12.9732,5.4187,0.0154,919.9767,2.6285,6.1424,58.608999999999995,13.1158,27.4478,1.1377,316.4279,-11.0126,-52.4805,1.1558,-0.6507,-60.6599,1.0364,2.6599,2.4888,138.4741,157.5846,47.6297,52.3703,0.0981,0.0528,13.4821,0.1008,26.4434
600297,2012,1,0.41,1.47,10.7598,3.4404,0.0098,234.0361,0.6686,1.4268,63.0782,3.156,28.5171,0.3085,291.7342,1.7027,-60.2403,3.7597,-24.4657,-49.7436,3.7635,2.586,2.2721,68.4559,901.8489,57.8752,42.1248,0.0416,0.0067,3.5872,0.0159,4.1353
600297,2012,2,0.68,1.27,10.3764,5.941,0.0169,467.2905,1.3351,2.8445,63.28,5.582999999999999,32.2407,0.6017,299.1524,12.3187,48.0569,6.4986,-20.2334,40.281,6.3808,2.4596,2.1104,64.5087,3497.4803,57.5362,42.4638,0.0556,0.0171,3.8139999999999996,0.0403,9.9088
600297,2012,3,5.2,7.24,13.8358,46.0283,0.1315,635.5615,1.8158,5.0581,53.3797,11.3432,23.8028,0.9263,291.4822,-6.1373,813.0285,8.2159,-35.4763,813.1944,9.7392,5.6902,5.2227,194.7702,-18436.5218,65.6455,34.3545,0.0831,0.0394,1.1035,0.1148,64.7581
600297,2012,4,5.14,6.09,15.2865,46.3241,0.1323,759.6998,2.1705,7.773,46.3142,9.183,39.2029,1.1253,319.9147,-17.4218,625.8422,10.6005,-21.3447,754.1935,11.68,6.1836,5.0407,211.8582,10512.5065,66.9741,33.0259,0.0631,0.0356,0.9863,0.1079,67.0007
600297,2013,1,0.2,2.99,28.5805,1.837,0.0052,61.4148,0.1754,1.8756,47.9846,0.4835,186.1427,0.1364,659.824,-73.7584,-31.3043,8.4121,-5.9022,-46.4388,9.3246,5.632999999999999,4.4083,198.0028,-309.4473,66.6793,33.3207,0.3019,0.0135,9.9375,0.0406,22.7778
600297,2013,2,1.72,7.38,23.8375,15.7331,0.0449,213.0,0.6085,3.3162,54.278999999999996,2.0301,88.6656,0.44299999999999995,406.3205,-54.4181,139.2397,4.6828,-6.7875,164.8286,5.6598,4.1451,3.5221,142.3259,-1643.989,64.6163,35.3837,0.1448,0.0218,1.8919,0.0616,24.6197
600297,2013,3,3.25,9.72,26.8183,30.1247,0.086,309.8259,0.8852,3.9039,69.1616,2.9062,92.9048,0.6242,432.5537,-51.2516,-35.3271,5.386,8.5355,-34.5468,4.7374,3.7167,3.2151,127.0294,-2287.3132,63.7406,36.2594,0.1813,0.0386,1.8141,0.1065,37.9418
600297,2013,4,5.55,12.33,24.1706,52.7388,0.1506,427.4506,1.2212,7.4855,48.093,5.2171,69.0039,0.9209999999999999,390.8795,-43.7343,10.3729,5.6034,2.3641,13.2931,5.5048,7.8397,7.154,248.5085,-3297.3176,69.0935,30.9065,0.1342,0.0417,1.0696,0.1349,92.5546
600297,2014,1,0.32,6.39,26.3725,3.1717,0.009000000000000001,49.5943,0.1416,0.6438,139.795,0.8257,108.9984,0.1013,888.4501,-19.2469,63.8621,7.4214,2.7934,-100.0,7.3404,8.1083,7.3534,323.7402,-615.1693,69.6814,30.3186,-0.1149,-0.004,-1.8637,-0.0134,-9.3609
600297,2014,2,1.71,9.66,22.0325,15.7878,0.0451,163.3308,0.4666,1.9261,93.4531,2.4553,73.3108,0.3196,563.2040000000001,-23.3188,-2.3186,0.7547,-2.4691,0.3515,0.7049,5.3165,4.7096,207.3797,-1923.4971,66.7522,33.2478,0.0738,0.0087,0.7571,0.0263,11.9547
600297,2014,3,2.83,11.79,22.0105,27.0938,0.0774,229.7689,0.6564,3.8267,70.5569,3.4434,78.4109,0.609,443.3498,-25.8393,-11.9386,3.2112,3.4047,-10.0626,3.1901,2.34,1.8038,44.9282,-2646.9083,63.6214,36.3786,0.1202,0.0184,1.0127,0.0505,24.0509
600297,2014,4,3.51,9.1,19.5649,33.8355,0.0966,371.5141,1.0614,3.5797,100.5671,9.045,39.801,0.9772,368.3995,-13.0861,-36.4275,1.3697,9.4543,-35.5333,1.3438,2.0513,1.8751,30.3658,-9251.6772,63.99,36.01,0.1953,0.0482,2.1277,0.1337,54.2241
600297,2015,1,0.38,8.69,28.485,3.6916,0.0105,42.4487,0.1212,0.3586,250.976,0.6776,132.8217,0.1487,605.2455,-14.4081,19.3265,-1.3442,9.7348,,-1.3792,1.7331,1.347,29.4255,-6558.2329,62.6462,37.3538,0.8264,0.0227,9.6174,0.0608,20.5132
600297,2015,2,4.54,2.08,9.5531,903.935,0.2465,43346.3455,11.8208,52.6029,3.4219,5.4409,33.0828,2.1002,85.7061,26438.9865,6165.9144,2159.7888,4822.6562,552.1836,2062.1574,1.0133,0.6577,47.0936,289.5011,30.6432,69.3568,-0.0755,-0.0481,-3.2772,-0.0694,-8.0823
600297,2015,3,6.14,1.89,9.2735,1244.5241,0.3393,65699.5882,17.9167,77.7234,3.4739,9.2122,29.309,2.94,91.8367,28493.766,4865.75,2111.4469,4662.01,391.5386,2017.2004,0.9886,0.7011,51.3914,273.2007,29.5453,70.4547,-0.0189,-0.0173,-0.915,-0.0246,-2.7578
600297,2015,4,9.47,2.12,9.2273,1988.3412,0.3614,93700.0352,17.0351,104.7184,3.4378,12.1788,29.5596,3.9264,91.68700000000001,25121.1241,6113.3814,2172.2409,4932.817,307.3423,2079.7302,0.9782,0.6907,49.8287,295.9912,28.8905,71.1095,0.0594,0.0734,2.6262,0.1032,11.468
600297,2016,1,3.37,2.85,9.5132,736.0181,0.1338,25810.7675,4.6925,16.2368,5.542999999999999,1.6981,53.0004,0.5585,161.1459,60704.5759,21105.9669,2252.3332,4762.8955,1174.2857,2157.0613,0.9605,0.6709,48.3274,391.4786,30.3039,69.6961,-0.165,-0.0567,-5.5065,-0.0814,-9.0952
600297,2016,2,6.17,2.56,9.2907,1380.0526,0.2509,53742.6406,9.7706,28.5087,6.3139,3.1181,57.7275,0.9996,180.072,23.9842,46.6885,19.1476,53.2963,-14.7179,12.3078,0.9024,0.6422,40.1451,349.9694,23.816999999999997,76.183,-0.0707,-0.0364,-2.5939,-0.0478,-5.7044
600297,2016,3,8.72,2.23,9.3262,2003.8086,0.3643,89685.2912,16.3052,47.106,5.7318,5.2024,51.8991,1.6313,165.5122,36.5081,59.3238,20.3875,51.9817,-4.2576,13.52,0.9676,0.6995,41.7533,303.3617,23.4034,76.5966,-0.0183,-0.0151,-0.7625,-0.0197,-2.5469999999999997
600297,2016,4,11.89,2.06,8.8447,2802.9024,0.5095,135422.2631,24.6204,56.888000000000005,6.3282,8.4085,42.8138,2.4383,147.6439,44.5274,43.6401,31.2878,47.6815,29.3729,12.3119,0.99,0.7501,44.143,295.7652,25.6835,74.3165,0.0244,0.0295,1.087,0.0398,5.1464
600297,2017,1,3.79,2.95,10.503,970.6645,0.1764,32802.8025,5.9637,11.6607,7.7182,1.7524,51.3581,0.5146,174.8931,27.0896,42.2225,35.5639,50.599,31.9133,17.1418,1.0578,0.7581,43.2449,323.0395,27.2785,72.7215,-0.2243,-0.065,-6.6877,-0.0894,-12.1881
600297,2017,2,7.83,2.84,10.7717,2002.2188,0.28,70282.7926,9.829,21.7287,8.283999999999999,3.7473,48.0346,1.1012,163.458,30.7766,57.7042,27.5962,9.2778,10.6417,14.2591,1.0946,0.786,43.6257,364.1954,27.8095,72.1905,-0.0907,-0.055999999999999994,-2.7615,-0.0776,-10.8998
600297,2017,3,11.0,2.59,10.209,2907.5804,0.4066,112131.8932,15.6816,39.5136,6.8331,6.0909,44.3284,1.7199,156.9859,25.0282,56.6322,28.4093,7.6639,10.2937,14.9535,1.1474,0.8442,45.6156,344.3124,27.9129,72.0871,-0.0203,-0.0194,-0.6745,-0.027000000000000003,-3.9175
600297,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601398,2010,1,5.77,47.57,61.7337,41547.0,0.1243,87338.0,0.2614,,,,,,,,18.238,13.0531,14.3403,9.0909,12.9663,,,,,5.769,94.23100000000001,,0.0227,6.8203,0.0241,
601398,2010,2,12.01,46.55,60.693000000000005,84603.0,0.2532,181708.0,0.544,,,,,,,,27.5502,14.282,13.3387,25.0,14.2538,,,,,5.4751,94.5249,,0.0373,5.6903,0.0395,
601398,2010,3,16.87,45.64,59.4829,127216.0,0.3808,278690.0,0.8343,,,,,,,,27.244,16.6841,14.9763,26.6667,16.6543,,,,,5.6604,94.3396,,0.0468,4.913,0.0496,
601398,2010,4,20.13,43.36,56.3223,165156.0,0.4732,380821.0,1.0911,,,,,,,,28.3533,21.0216,14.2008,23.0769,21.7448,,,,,6.1051,93.8949,,0.0207,1.6755,0.022000000000000002,
601398,2011,1,6.17,47.25,61.135,53787.0,0.1541,113817.0,0.3261,,,,,,,,29.0258,20.4396,14.6304,25.0,21.121,,,,,6.0613,93.9387,,0.023,6.1582,0.0245,
601398,2011,2,12.75,47.05,60.8123,109481.0,0.3136,232688.0,0.6666,,,,,,,,28.9649,21.1408,14.9353,24.0,21.8822,,,,,5.7708,94.2292,,0.0159,2.1674,0.0169,
601398,2011,3,18.19,46.58,60.0587,163840.0,0.4694,351729.0,1.0077,,,,,,,,28.3133,18.7439,12.7376,23.6842,19.4805,,,,,5.962000000000001,94.038,,0.0113,1.0409,0.012,
601398,2011,4,21.76,43.82,57.0269,208265.0,0.5966,475214.0,1.3613,,,,,,,,25.5504,16.5721,14.9959,25.0,16.6147,,,,,6.1887,93.8113,,0.0225,1.6701,0.024,
