close,code,date,high,low,open,volume
4.635,601718,2010-09-30,6.092,4.352,5.487,2976995482
4.002,601718,2010-12-31,5.392,3.907,4.664,3486447426
4.446,601718,2011-03-31,5.014,3.576,4.002,3143458041
4.352,601718,2011-06-30,4.597,3.746,4.408,1478051752
3.793,601718,2011-09-30,4.711,3.784,4.361,1107741700
3.251,601718,2011-12-30,4.012,3.09,3.812,499282511
3.261,601718,2012-03-30,3.717,3.08,3.242,866226097
3.004,601718,2012-06-29,3.612,2.937,3.261,600006598
2.842,601718,2012-09-28,3.167,2.708,3.014,608398431
2.88,601718,2012-12-31,3.014,2.603,2.832,581269800
2.794,601718,2013-03-29,3.234,2.765,2.899,1169796791
2.315,601718,2013-06-28,3.024,2.201,2.794,705060835
2.625,601718,2013-09-30,3.022,2.276,2.315,1447011818
2.683,601718,2013-12-31,2.896,2.489,2.605,855766458
2.528,601718,2014-03-31,2.692,2.421,2.683,620421167
2.383,601718,2014-06-30,2.596,2.257,2.528,580501384
4.114,601718,2014-09-30,4.183,2.354,2.383,3784082193
6.249,601718,2014-12-31,7.076,4.055,4.124,6832292091
7.046,601718,2015-03-31,7.42,5.305,6.2,4097992925
14.88,601718,2015-06-30,15.687,6.987,7.056,7240776469
11.907,601718,2015-09-30,27.37,8.946,13.394,11742224580
11.334,601718,2015-12-31,16.185,11.067,12.361,7370805224
9.288,601718,2016-03-31,11.61,6.927,11.403,4973332849
7.549,601718,2016-06-30,9.802,7.035,9.367,2169717135
7.614,601718,2016-09-30,8.946,7.505,7.569,2252018662
9.155,601718,2016-12-30,9.632,7.634,7.634,4210357190
8.399,601718,2017-03-31,9.483,8.181,9.195,1914688718
8.737,601718,2017-06-30,10.845,7.853,8.648,2519758822
8.36,601718,2017-09-29,9.47,8.131,8.688,1819736453
4.872,601872,2010-03-31,5.506,4.649,4.88,895928494
3.498,601872,2010-06-30,4.957,3.472,4.872,502409420
3.929,601872,2010-09-30,4.11,3.42,3.463,723037488
3.541,601872,2010-12-31,4.48,3.481,3.929,840830916
3.687,601872,2011-03-31,4.041,3.498,3.558,649084255
3.334,601872,2011-06-30,3.903,3.145,3.67,432796072
2.873,601872,2011-09-30,3.413,2.795,3.334,265734935
2.516,601872,2011-12-30,3.16,2.446,2.882,205876507
2.577,601872,2012-03-30,2.951,2.42,2.542,303586190
2.812,601872,2012-06-29,3.169,2.559,2.568,334321851
2.227,601872,2012-09-28,2.925,2.131,2.812,277169917
2.458,601872,2012-12-31,2.477,2.192,2.235,250274548
2.381,601872,2013-03-29,2.621,2.372,2.468,351409388
1.872,601872,2013-06-28,2.401,1.805,2.381,448506912
2.452,601872,2013-09-30,3.118,1.824,1.882,1631049485
2.336,601872,2013-12-31,2.76,2.152,2.461,1005950269
2.268,601872,2014-03-31,2.442,2.104,2.326,397097397
2.259,601872,2014-06-30,2.49,2.181,2.268,420531367
3.233,601872,2014-09-30,3.33,2.23,2.249,1156589419
6.071,601872,2014-12-31,7.152,3.118,3.243,3629907925
6.544,601872,2015-03-31,7.335,4.932,6.081,4743052667
11.594,601872,2015-06-30,11.894,6.515,6.525,12060873760
6.203,601872,2015-09-30,12.358,5.662,10.87,10959193094
6.85,601872,2015-12-31,8.029,6.377,6.503,5026736581
4.957,601872,2016-03-31,6.87,4.251,6.85,2302119923
4.589,601872,2016-06-30,5.623,4.374,4.957,1923955673
5.001,601872,2016-09-30,5.442,4.55,4.599,2043449038
4.844,601872,2016-12-30,5.933,4.805,5.021,2745928819
5.325,601872,2017-03-31,5.59,4.825,4.844,2111155298
5.06,601872,2017-06-30,5.521,4.933,5.354,654931424
4.95,601872,2017-09-29,5.57,4.93,5.57,515423635
14.622,601877,2010-03-31,17.912,13.07,15.828,312649504
10.702,601877,2010-06-30,16.479,10.54,14.592,264397959
12.385,601877,2010-09-30,13.717,10.172,10.702,187709720
14.441,601877,2010-12-31,15.007,12.433,12.433,205137097
12.354,601877,2011-03-31,15.297,11.39,14.38,144063374
10.692,601877,2011-06-30,13.373,10.118,12.367,97183857
9.372,601877,2011-09-30,11.426,8.995,10.674,66468796
8.082,601877,2011-12-30,9.995,7.712,9.372,92441936
9.501,601877,2012-03-30,10.106,7.749,8.113,98040696
9.835,601877,2012-06-29,10.563,9.489,9.501,83281530
9.758,601877,2012-09-28,10.209,9.036,9.983,54682666
12.071,601877,2012-12-31,12.386,9.731,9.784,101524163
14.443,601877,2013-03-29,14.502,11.637,12.071,101722881
13.423,601877,2013-06-28,15.554,12.178,14.324,101555788
15.405,601877,2013-09-30,15.682,13.003,13.423,82646780
17.133,601877,2013-12-31,20.611,15.164,15.35,122698371
16.865,601877,2014-03-31,20.149,15.804,17.078,122552826
15.468,601877,2014-06-30,17.622,13.929,16.906,67215628
18.22,601877,2014-09-30,19.026,15.115,15.461,118129952
21.848,601877,2014-12-31,25.123,16.125,18.356,231627169
29.593,601877,2015-03-31,30.579,21.027,22.567,309735338
28.873,601877,2015-06-30,33.797,27.318,29.514,257561740
28.873,601877,2015-09-30,0.0,0.0,0.0,0
24.805,601877,2015-12-31,31.759,23.555,27.411,385950513
19.467,601877,2016-03-31,24.853,14.639,24.853,660992398
18.326,601877,2016-06-30,19.9,16.86,19.294,363045378
22.359,601877,2016-09-30,24.357,18.258,18.316,843026242
19.691,601877,2016-12-30,23.432,19.464,22.487,402206595
19.779,601877,2017-03-31,20.852,18.43,19.691,243658474
20.09,601877,2017-06-30,21.108,17.387,19.779,218613117
21.39,601877,2017-09-29,22.95,18.38,20.05,280925897
13.192,601881,2017-03-31,15.414,8.067,8.067,5162412543
11.711,601881,2017-06-30,13.666,10.496,13.143,1834332664
15.64,601881,2017-09-29,16.8,10.99,11.711,3848190106
10.378,601898,2010-03-31,12.832,9.915,12.174,1240748006
7.461,601898,2010-06-30,10.911,7.434,10.413,890973670
8.974,601898,2010-09-30,9.382,7.15,7.479,988918258
9.825,601898,2010-12-31,12.096,9.11,9.183,2702904051
9.762,601898,2011-03-31,10.838,8.974,10.051,1550436735
9.197,601898,2011-06-30,10.35,8.434,9.825,946028369
8.231,601898,2011-09-30,10.365,7.955,9.197,1130613381
8.286,601898,2011-12-30,9.675,7.505,8.277,923793366
8.36,601898,2012-03-30,9.399,7.79,8.351,794313502
7.293,601898,2012-06-29,9.151,7.067,8.323,647774160
6.681,601898,2012-09-28,7.425,6.238,7.378,586112079
7.369,601898,2012-12-31,7.416,6.295,6.681,570256847
6.737,601898,2013-03-29,7.981,6.709,7.454,786370363
4.754,601898,2013-06-28,6.747,4.57,6.709,540848295
5.211,601898,2013-09-30,5.756,4.56,4.735,795428698
4.638,601898,2013-12-31,5.416,4.521,5.192,588321691
4.288,601898,2014-03-31,4.657,3.957,4.657,456902274
3.996,601898,2014-06-30,4.473,3.857,4.278,799565263
4.65,601898,2014-09-30,4.749,3.926,3.996,1540863875
6.861,601898,2014-12-31,7.317,4.372,4.64,4206552692
6.821,601898,2015-03-31,8.13,5.74,6.891,3399818669
11.322,601898,2015-06-30,13.454,6.811,6.821,11731529054
5.953,601898,2015-09-30,11.431,5.645,10.906,7631031299
6.013,601898,2015-12-31,7.126,5.744,6.36,2613961219
5.088,601898,2016-03-31,6.162,4.423,6.023,1651518795
5.128,601898,2016-06-30,5.734,4.502,5.088,957879377
